Starting
Starting
Creating Images
Images created
initial homography: 1 0 0 0 1 0 0 0 1 

ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0.000535735
ncc: 0.000708787
ncc: 0.00070746
ncc: 0.000706138
ncc: 0.000704834
ncc: 0.000703532
ncc: 0.000702231
ncc: 0.00070094
ncc: 0.000699643
ncc: 0.00069835
ncc: 0.000697051
ncc: 0.000694352
ncc: 0.000691682
ncc: 0.000689024
ncc: 0.000686388
ncc: 0.00068376
ncc: 0.000681139
ncc: 0.000678532
ncc: 0.000675927
ncc: 0.000673331
ncc: 0.000670737
ncc: 0.000665517
ncc: 0.000660334
ncc: 0.000655175
ncc: 0.000650047
ncc: 0.00064494
ncc: 0.000639852
ncc: 0.000634789
ncc: 0.000629743
ncc: 0.000624717
ncc: 0.000619707
ncc: 0.000613322
ncc: 0.000606976
ncc: 0.000600658
ncc: 0.000594374
ncc: 0.000588114
ncc: 0.000581878
ncc: 0.000575671
ncc: 0.000569484
ncc: 0.000563323
ncc: 0.000557182
ncc: 0.000550804
ncc: 0.000544463
ncc: 0.000538145
ncc: 0.000531858
ncc: 0.000525593
ncc: 0.000519348
ncc: 0.000513131
ncc: 0.000506931
ncc: 0.000500754
ncc: 0.000494596
ncc: 0.000488185
ncc: 0.000481807
ncc: 0.000475449
ncc: 0.000469119
ncc: 0.000462808
ncc: 0.000456516
ncc: 0.000450247
ncc: 0.000443995
ncc: 0.000437763
ncc: 0.000431548
ncc: 0.000425118
ncc: 0.000418717
ncc: 0.000412334
ncc: 0.000405976
ncc: 0.000399633
ncc: 0.000393307
ncc: 0.000387002
ncc: 0.00038071
ncc: 0.000374438
ncc: 0.000368179
ncc: 0.000361718
ncc: 0.000355282
ncc: 0.000348861
ncc: 0.000342462
ncc: 0.000336076
ncc: 0.000329703
ncc: 0.00032335
ncc: 0.000317006
ncc: 0.000310681
ncc: 0.000304366
ncc: 0.000297818
ncc: 0.000291288
ncc: 0.000284775
ncc: 0.000278279
ncc: 0.000271793
ncc: 0.000265318
ncc: 0.000258859
ncc: 0.00025241
ncc: 0.000245975
ncc: 0.000239549
ncc: 0.000232916
ncc: 0.000226298
ncc: 0.000219694
ncc: 0.000213103
ncc: 0.000206521
ncc: 0.000199947
ncc: 0.000193385
ncc: 0.000186832
ncc: 0.000180289
ncc: 0.000473201
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0.000460528
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0.000456642
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0.000445149
ncc: 7.72166e-06
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
.

homography: 1 0 0 0 1 0 0 0 1 
Scale = 0.01
ncc: 0.000441592
ncc: 5.87802e-05
ncc: 7.63787e-05
ncc: 9.50376e-05
ncc: 0.000112189
